"County","City","Facility","Address","Vaccine Types","Appt Available","Scheduling Site","Info Website","Email","Phone","Instructions for Public","Walk-In Instructions","Last Updated"
"Chelan","Wenatchee","SAFEWAY #27-1449","501 N Miller St, Wenatchee, WA 98801","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyWenatchee","","","","Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine","","2/3/2021 11:06 AM"
"Chelan","Wenatchee","WENATCHEE CVCH MEDICAL","600 Orondo, Wenatchee, WA 98801","Unknown","false","","http://CVCH.org","ResponseTeam@cvch.org","","Email for scheduling assistance","","2/20/2021 3:21 PM"
"Chelan","Wentachee","ALBERTSON'S PHARMACY #3412","1128 N Miller St, Wentachee, WA 98801","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SavonPharmacyWenatchee","","","","Appointments are required. Please visit our link to schedule. If there are no spots on the scheduling link, all appointments have been filled. More appointments will be added as we receive more vaccine. Please do not call the pharmacy to inquire about additional dates.","","2/3/2021 10:08 AM"
"Clallam","Forks","Forks Community Hospital","530 Bogachiel Way, Forks, WA 98331","Unknown","true","","https://www.forkshospital.org/forks-community-hospital-status-report-for-forks-west-end/","Shawns@forkshospital.org","(360) 327-8325","Follow Forks Community Hospital website for information in regards to vaccine clinics being offered in our community.","Currently offering weekend clinics on Fridays and Saturdays, first come, first served . Check our website for latest updates and information.","2/21/2021 9:03 AM"
"Clallam","Port Angeles","NOHN EXPANDED SERVICES","933 E. 1st St, Port Angeles, WA 98362","Unknown","false","","https://www.nohn-pa.org","kduncan@nohn-pa.org","(360) 797-1438","email preferable","","2/17/2021 7:20 PM"
"Clallam","Sequim","SEQUIM COSTCO","955 West Washington St., Sequim, WA 98382","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctxcbbkx/?&e_id=5051","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:16 AM"
"Clark","Battle Groun","VITAL CARE","1207 SE Rasmussen Blvd Sui, Battle Groun, WA 98604","Unknown","false","","https://www.vitalcarewa.com","","","Please watch the website starting the week of 2/8/21. If we have vaccine appointments available, you will see a VACCINE VISIT appointment option which can then be booked on a first come, first serve basis. If you do not see VACCINE VISIT as an option, we do not have the vaccine available that week. We are unable to pre-book via phone call.","","2/17/2021 7:21 PM"
"Clark","Battle Ground","FRED MEYER PHARMACY 70100614","401 NW 12th Ave, Battle Ground, WA 98604","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-666-5133","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/16/2021 8:50 PM"
"Clark","Longview","FRED MEYER PHARMACY 70100185","3184 Ocean Beach Hwy, Longview, WA 98632","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-425-6222","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/17/2021 7:20 PM"
"Clark","Vancouver","CLARK COUNTY PUBLIC HEALTH","1601 E Fourth Plain Blvd, Vancouver, WA 98661","Unknown","true","","https://clark.wa.gov/public-health/covid-19-vaccine","","(888) 225-4625","Clark County Public Health is collecting names and contact information and connecting individuals with providers once vaccine becomes available. If you would like to use this option please go to our website and complete the webform linked there.","","2/19/2021 11:30 AM"
"Clark","Vancouver","FRED MEYER PHARMACY 70100140","7700 NE Highway 99, Vancouver, WA 98665","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-699-8133","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/16/2021 12:33 PM"
"Clark","Vancouver","FRED MEYER PHARMACY 70100208","11325 SE Mill Plain Blvd, Vancouver, WA 98684","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-253-7086","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/17/2021 7:20 PM"
"Clark","Vancouver","FRED MEYER PHARMACY 70100236","7411 NE 117th Ave, Vancouver, WA 98662","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-896-3533","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/17/2021 7:21 PM"
"Clark","Vancouver","FRED MEYER PHARMACY 70100460","800 NE Tenney Rd, Vancouver, WA 98685","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-571-2573","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/8/2021 9:23 AM"
"Clark","Vancouver","FRED MEYER PHARMACY 70100683","2500 Columbia House Blvd, Vancouver, WA 98661","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-619-1733","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/15/2021 12:43 PM"
"Clark","Vancouver","Fred Meyer Stores, Fisher's Landing","16600 SE Mcgillivary Blvd, Vancouver, WA 98683","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","360-260-3333","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/17/2021 7:22 PM"
"Clark","Vancouver","SAFEWAY #19-1519","13719 SE Mill Plain Blvd., Vancouver, WA 98684","Unknown","true","https://kordinator.mhealthcoach.net/vcl/Safeway-Vancouver-137thMillPlain","","","","Appointments are required. Please visit our link. If there are no spots on the scheduling link, all appointments have been filled. More appointments will be added when we receive more vaccine.","","2/17/2021 7:20 PM"
"Clark","Vancouver","THE VANCOUVER CLINIC - SALMON CREEK","2525 NE 139th Street, Vancouver, WA 98686","Unknown","false","","https://tvc.org/coronavirus-2/","","","","","2/20/2021 9:08 PM"
"Clark","Vancouver","THE VANCOUVER PEDS 87TH AVENUE","700 NE 87th Ave, Vancouver, WA 98664","Unknown","false","","https://tvc.org/coronavirus-2/","","","","","2/20/2021 9:09 PM"
"Clark","Vancouver","E VANCOUVER WA COSTCO","19610 SE 1st Street, Vancouver, WA 98607","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctx715lc/?&e_id=4967","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:07 AM"
"Clark","Vancouver","VANCOUVER WA COSTCO","6720 NE 84th Street, Vancouver, WA 98665","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctx8eqd0/?&e_id=4983","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy, the website will be updated as we receive additional vaccine doses.","","2/21/2021 9:20 AM"
"Clark","Washougal","SAFEWAY #19-1687","3307 SE Evergreen, Washougal, WA 98671","Unknown","true","https://kordinator.mhealthcoach.net/vcl/Safeway-Washougal","","","","Appointments are required. Please visit our link to schedule. If there are no spots on the scheduling link, all appointments have been filled. More appointments will be added when we receive more vaccine.","","2/17/2021 7:20 PM"
"Columbia","Dayton","Columbia County Health System","1012 S. Third Street, Dayton, WA 99328","Moderna and Pfizer","true","http://no online scheduling at the present time","https://www.columbiaco.com/18/Public-Health","Pubilc_Health@co.columbia.wa.us","509-382-2181","Please call 509-382-2181 to add your name to the vaccine waiting list.","No Walk-in Clinics, Vaccination Clinics are by appointment only.","2/21/2021 8:12 AM"
"Cowlitz","Longview","SAFEWAY #19-1078","2930 Ocean Beach Hwy, Longview, WA 98632","Unknown","true","https://kordinator.mhealthcoach.net/vcl/Safeway-Longview-OceanBeachHwy","","","","Appointments are required. Please visit our link to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine.","","2/17/2021 7:20 PM"
"Douglas","Bridgeport","FAMILY HEALTH CTRS BRIDGEPORT","1015 Columbia, Bridgeport, WA 98813","Moderna","true","https://myfamilyhealth.org/covid-vaccine/","","info@fhc.us","","Appointments are required. Please visit website to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine.","","2/20/2021 6:51 PM"
"Douglas","East Wenatch","FRED MEYER PHARMACY 70100654","11 Grant Rd, East Wenatch, WA 98802","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","509-881-2388","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/8/2021 5:02 AM"
"Douglas","Wenatchee","WENATCHEE COSTCO","375 Highline Drive South, Wenatchee, WA 98802","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctxb2gx2/?&e_id=5015","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses","","2/21/2021 9:20 AM"
"Ferry","Republic","Ferry County Memorial Hospital","36 Klondike Rd, Republic, WA 99166","Unknown","true","","","","(509) 775-8686","Please call to schedule a vaccine appointment.","","2/21/2021 6:10 AM"
"Garfield","Pomeroy","Garfield County Public Hospital District","66 N Sixth Street, Pomeroy, WA 99347","Moderna","true","","https://www.co.garfield.wa.us/publichealth/page/covid-19-information","health@co.garfield.wa.us","(509) 843-3412","Please contact our local health department to get on the list for scheduling of the COVID-19 vaccine. A person will call you to make an appointment. Our vaccine clinics are being held every Friday.","No walk in clinics at this time, please contact the local health department.","2/18/2021 12:53 PM"
"Grant","Mattawa","MATTAWA COMMUNITY MED CLINIC","210 Government Rd, Mattawa, WA 99349","Unknown","true","https://mattawacommunitymedicalclinic.net","","d.fox@mattawaclinic.net","509-932-4499","Appointments are required. Please visit this website to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine.","","2/17/2021 7:20 PM"
"Grant","Mattawa","WAHLUKE FAMILY HEALTH CENTER","601 Government Way, Mattawa, WA 99349","Unknown","true","","","","(509) 488-5256","","","2/17/2021 7:20 PM"
"Grant","Moses Lake","Samaritan Healthcare","801 E. Wheeler Rd., Moses Lake, WA 98837","Pfizer","true","","http://www.Samariitanhealthcare.com","Jsternberg@samaritanhealthcare.com","509-764-3335","BY Appointment Only","Drive Through Services","2/19/2021 3:31 PM"
"Grays Harbor","Aberdeen","GRAYS HARBOR COUNTY HEALTH DEPARTMENT","2109 Sumner Ave, Aberdeen, WA 98520","Pfizer","false","https://www.healthygh.org/directory/covid19","http://www.healthygh.org","Covid19@co.grays-harbor.wa.us","(360) 964-1850","Visit website and use ""contact us"" form.","","2/18/2021 3:54 PM"
"Grays Harbor","Aberdeen","SAFEWAY #27-1546","221 W Heron St, Aberdeen, WA 98520","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyAberdeen","","","","Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine.","","2/3/2021 11:23 AM"
"Grays Harbor","Elma","Summit Pacific Medical Center","600 East Main, Elma, WA 98541","Moderna","false","","https://summitpacificmedicalcenter.org/","vaccinescheduling@sp-mc.org","","Please fill out our Vaccine Intake form (located on the top right of our website). We will contact you and schedule an appointment as vaccine becomes available.","","2/19/2021 11:31 AM"
"Island","Camano Islan","CAMANO ISLAND HEALTH SYSTEM","1283 Elger Bay Road, Suite, Camano Islan, WA 98282","Unknown","false","","https://www.islandcountywa.gov/Health/Pages/Covid-Vaccine.aspx","","","Vaccine supply is extremely limited and appointments may not be available. Check our website for updates.","","2/20/2021 7:50 AM"
"Island","Clinton","Island Drug -South Whidbey #1142","8970 SR 525, Clinton, WA 98236","Moderna","true","https://islanddrug.com/pages/covidvaccine/","https://islanddrug.com","covidvaccine@islanddrug.com","","Please view website for current info","","2/18/2021 10:07 AM"
"Island","Oak Harbor","Island Drug - Oak Harbor","32170 State Route 20, Oak Harbor, WA 98277","Unknown","true","https://islanddrug.com/pages/covidvaccine/","https://islanddrug.com","covidvaccine@islanddrug.com","","Please view website for current info","","2/18/2021 10:09 AM"
"Jefferson","Port Townsen","SAFEWAY #27-0538","442 W Sims Way, Port Townsen, WA 98368","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyPortTownsend","","","","Appointments are required. Please visit our link to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine.","","2/3/2021 10:56 AM"
"Jefferson","Port Townsend","Jefferson Healthcare","834 Sheridan St, Port Townsend, WA 98368","Unknown","false","","https://jeffersonhealthcare.org/covid-19-vaccine/","","","Please visit our website for instructions on how to schedule.","","2/20/2021 12:26 PM"
"King","Auburn","Auburn General Services Administration Complex","2701 C St. SW Auburn, Auburn, WA 98001","Moderna","true","https://www.kingcounty.gov/covid/registration","","","","Drive-through only. Appointments are required in advance. At this time, residents of south King County who 1) are age 75 or older, OR 2) are age 50 or older and cannot live independently, or live with and care for kin, OR 3) are providing care (paid or unpaid) for someone age 50 or older who cannot live independently, can register for an appointment.","","2/19/2021 2:11 PM"
"King","Auburn","Fred Meyer Stores, Auburn","801 Auburn Way North, Auburn, WA 98002","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","253-931-5584","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/12/2021 5:09 PM"
"King","Auburn","Multicare - Auburn Business Center","1002 15th St. SW, Suite 110, Auburn, WA 98001","Unknown","true","","https://www.multicare.org/covid19/vaccine/","","","Appointments are required and are in high demand. Visit our COVID-19 vaccine page for the latest updates and scheduling information.","","2/13/2021 10:03 AM"
"King","Bellevue","NORTHWEST CLINICAL RESEARCH CENTER","1951 152nd Place NE Suite, Bellevue, WA 98007","Unknown","false","https://calendly.com/nwcrc_covidvaccine/covid-19-vaccination","","covidvaccine@nwcrc.net","","Please schedule an a vaccine appointment on the scheduler (provided website link). If there are any questions, please email us at covidvaccine@nwcrc.net. Due to the large volume, we will not be answering phone calls. All questions have to be sent to the email that is provided.","","2/20/2021 10:40 AM"
"King","Bellevue","Overlake Medical Center","1035 116th Ave NE, Bellevue, WA 98004","Unknown","false","","","","","","","2/20/2021 5:18 PM"
"King","Bellevue","SAFEWAY #27-1600","300 Bellevue Way NE, Bellevue, WA 98004","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyBellevue","","","","Appointments are required. Please visit our link to schedule. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/3/2021 11:58 AM"
"King","Burien","Fred Meyer Stores, Burien","14300 First Avenue South, Burien, WA 98168","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","206-433-6446","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/11/2021 4:07 PM"
"King","Burien","St. Anne Hospital","16251 Sylvester Rd SW, Burien, WA 98166","Unknown","false","","https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html","","","Vaccine is provided by appointment only. Please visit our website to schedule an appointment If you have questions please call: 253-792-2385 8-4:30 seven days a week.","","2/21/2021 8:14 AM"
"King","Covington","COVINGTON COSTCO","27520 Covington Way SE, Covington, WA 98042","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctxyd41v/?&e_id=4989","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:25 AM"
"King","Covington","FRED MEYER PHARMACY 70100053","16735 SE 272nd St, Covington, WA 98042","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","253-639-7433","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/17/2021 9:01 AM"
"King","Enumclaw","Franciscan Health St. Elizabeth Hospital","1455 Battersby Ave, Enumclaw, WA 98022","Unknown","false","","https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html","","","Vaccine is provided by appointment only. Please visit our website to schedule an appointment. If you have questions please call: 253-792-2385 8-4:30 seven days a week.","","2/21/2021 8:19 AM"
"King","Federal Way","Franciscan Health St. Francis Hospital","34515 9th Ave S, Federal Way, WA 98003","Unknown","false","","https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html","","","Vaccine is provided by appointment only. Please visit: our website to schedule an appointment. If you have questions please call: 253-792-2385 8-4:30 seven days a week.","","2/21/2021 8:21 AM"
"King","Federal Way","FRED MEYER PHARMACY 70100111","33702 21st Ave SW, Federal Way, WA 98023","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","253-952-0133","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","1/30/2021 9:58 AM"
"King","Federalway","FEDERALWAY COSTCO","35100 Enchanted Parkway S., Federalway, WA 98003","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctx6gxv6/?&e_id=5031","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:08 AM"
"King","Issaquah","ISSAQUAH COSTCO","1801 10th Ave Northwest, Issaquah, WA 98027","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctxq8qyy/?&e_id=5061","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:22 AM"
"King","Kent","FRED MEYER PHARMACY 70100172","10201 SE 240th, Kent, WA 98031","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","253-859-5533","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/16/2021 8:14 PM"
"King","Kent","Fred Meyer Stores, Redondo","25250 Pacific Hwy South, Kent, WA 98032","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/11/2021 5:41 PM"
"King","Kent","Kent accesso ShoWare Center","625 W James St, Kent, WA 98032","Moderna","true","https://www.kingcounty.gov/covid/registration","","","","Appointments are required in advance. At this time, residents of south King County who 1) are age 75 or older, OR 2) are age 50 or older and cannot live independently, or live with and care for kin, OR 3) are providing care (paid or unpaid) for someone age 50 or older who cannot live independently, can register for an appointment.","","2/19/2021 2:13 PM"
"King","Kent","KENT FAMILY PRACTICE","24604 104th Ave SE, #201, Kent, WA 98030","Unknown","false","https://www.kentfamilyclinic.com/","","admin@kentfamilyclinic.com","(253)854-9799","Schedule online for a guaranteed vaccination appointment. Callers and walk-ins first come first serve.","","2/10/2021 8:55 AM"
"King","Kent","ONESTOP MEDICAL CLINIC","1314 Central Ave S, #102, Kent, WA 98032","Unknown","true","","","covid.onestop@gmail.com","","We will update our website, once we are allocated COVID19 Pfizer/ Moderna Primary (Dose 1) and Pfizer Booster (Dose 2) vaccines. We will keep you posted by email. We ask that for everyone’s safety, please do not visit our clinic without an appointment. Please do not call us to inquire about COVID19 Vaccine as we are experiencing extremely high call volumes. We appreciate your patience","","2/17/2021 1:18 AM"
"King","Kent","SAFEWAY #27-1294","210 Washington Ave S, Kent, WA 98032","Unknown","true","https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyKent","","","","Appointments are required. Please schedule on our website. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/3/2021 11:05 AM"
"King","Kirkland","KIRKLAND COSTCO","8629 120th Ave NE, Kirkland, WA 98033","Unknown","false","https://book-costcopharmacy.appointment-plus.com/ctx5cjym/?&e_id=5003","","","","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/21/2021 9:10 AM"
"King","Maple Valley","Fred Meyer Stores, Maple Valley","26520 Maple Valley Black Diamond Rd SE, Maple Valley, WA 98038","Unknown","true","https://www.fredmeyer.com/rx/guest/get-vaccinated","","","425-433-2333","Appointments are required. Please schedule on our link. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/11/2021 6:02 PM"
"King","Mercer Island","LAKE WASHINGTON INTERNAL MEDICINE","8015 SE 28th St Ste 310, Mercer Island, WA 98040","Unknown","false","https://www.lwimclinic.com","http://www.lwimclinic.com","vaccines@lwimclinic.com","","Please visit our website for the latest information on scheduling and vaccine availability. Email us if you have questions.","No Walk-in","2/20/2021 7:47 PM"
"King","Newcastle","SAFEWAY #27-0558","6911 Coal Creek Pkwy, Newcastle, WA 98056","Unknown","true","https://kordinator.mhealthcoach.net/vcl/NewcastleSafeway","","","","Appointments are required. Please schedule on our website. If there are no dates listed, all appointments have been filled. Please check back at a later date. Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses.","","2/3/2021 10:58 AM"
